section_id,file_id,url,heading_markdown,section_code,local_readme_file,heading_level,section_contents
11,2,https://github.com/dungenessbin/think,## 目录结构,-,dungenessbin.think.md,2,
12,2,https://github.com/dungenessbin/think,## 命名规范,-,dungenessbin.think.md,2,
13,2,https://github.com/dungenessbin/think,### 目录和文件,-,dungenessbin.think.md,3,
14,2,https://github.com/dungenessbin/think,### 函数和类、属性命名,-,dungenessbin.think.md,3,
15,2,https://github.com/dungenessbin/think,### 常量和配置,-,dungenessbin.think.md,3,
16,2,https://github.com/dungenessbin/think,### 数据表和字段,-,dungenessbin.think.md,3,
17,2,https://github.com/dungenessbin/think,## 参与开发,-,dungenessbin.think.md,2,
18,2,https://github.com/dungenessbin/think,## 版权信息,-,dungenessbin.think.md,2,
19,3,https://github.com/sethm/symon,# SYMON - A 6502 System Simulator,14,sethm.symon.md,1,"===============================  **Version:** 1.2.1  **Last Updated:** 8 January, 2016  See the file COPYING for license.  ![Symon Simulator in Action](http://www.loomcom.com/symon/screenshots/full.jpg) "
20,3,https://github.com/sethm/symon,## 1.0 About,1246,sethm.symon.md,2,
21,3,https://github.com/sethm/symon,## 2.0 Requirements,3,sethm.symon.md,2,
22,3,https://github.com/sethm/symon,## 3.0 Features,1,sethm.symon.md,2,
23,3,https://github.com/sethm/symon,### 3.1 Memory Maps,1,sethm.symon.md,3,
24,3,https://github.com/sethm/symon,#### 3.1.1 Symon Memory Map,1,sethm.symon.md,4,
25,3,https://github.com/sethm/symon,#### 3.1.2 MULTICOMP Memory Map,1,sethm.symon.md,4,
26,3,https://github.com/sethm/symon,### 3.1.3 Simple Memory Map,1,sethm.symon.md,3,
27,3,https://github.com/sethm/symon,### 3.2 Serial Console and CPU Status,1,sethm.symon.md,3,
28,3,https://github.com/sethm/symon,### 3.3 ROM Loading,1,sethm.symon.md,3,
29,3,https://github.com/sethm/symon,### 3.4 Memory Window,1,sethm.symon.md,3,
30,3,https://github.com/sethm/symon,### 3.5 Trace Log,1,sethm.symon.md,3,
31,3,https://github.com/sethm/symon,### 3.6 Simulator Speeds,1,sethm.symon.md,3,
32,3,https://github.com/sethm/symon,### 3.7 Breakpoints,1,sethm.symon.md,3,
33,3,https://github.com/sethm/symon,### 3.8 Experimental 6545 CRTC Video,16,sethm.symon.md,3,
34,3,https://github.com/sethm/symon,#### 3.8.1 Example BASIC Program to test Video,1,sethm.symon.md,4,
35,3,https://github.com/sethm/symon,## 4.0 Usage,3,sethm.symon.md,2,
36,3,https://github.com/sethm/symon,### 4.1 Building,3,sethm.symon.md,3,
37,3,https://github.com/sethm/symon,### 4.2 ROM images,3,sethm.symon.md,3,
38,3,https://github.com/sethm/symon,### 4.3 Loading A Program,3,sethm.symon.md,3,
39,3,https://github.com/sethm/symon,### 4.4 Running,3,sethm.symon.md,3,
40,3,https://github.com/sethm/symon,## 5.0 Revision History,4,sethm.symon.md,2,
41,3,https://github.com/sethm/symon,## 6.0 Roadmap,4,sethm.symon.md,2,
42,3,https://github.com/sethm/symon,## 7.0 To Do,4,sethm.symon.md,2,
43,3,https://github.com/sethm/symon,## 8.0 Copyright and Acknowledgements,5,sethm.symon.md,2,
44,3,https://github.com/sethm/symon,## 9.0 Licensing,5,sethm.symon.md,2,
45,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,# Code Along: An Intro to Inheritance,1,lastromanticx.oo-inheritance-code-along-wdf-000.md,1,
46,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Objectives,12,lastromanticx.oo-inheritance-code-along-wdf-000.md,2,
47,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Introduction: Why Inheritance?,12,lastromanticx.oo-inheritance-code-along-wdf-000.md,2,
48,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## What is Inheritance?,1,lastromanticx.oo-inheritance-code-along-wdf-000.md,2,
49,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,## Code Along: Basic Inheritance,3,lastromanticx.oo-inheritance-code-along-wdf-000.md,2,
50,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 1: Defining the Super Class,3,lastromanticx.oo-inheritance-code-along-wdf-000.md,3,
51,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 2: Defining the Subclass,3,lastromanticx.oo-inheritance-code-along-wdf-000.md,3,
52,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,### Step 3: Overwriting Inherited Methods,3,lastromanticx.oo-inheritance-code-along-wdf-000.md,3,
53,4,https://github.com/lastromanticx/oo-inheritance-code-along-wdf-000,#### Method Look-Up in Ruby,3,lastromanticx.oo-inheritance-code-along-wdf-000.md,4,
54,5,https://github.com/microlv/prerender,# Prerender Service [![Stories in Ready](https://badge.waffle.io/prerender/prerender.png?label=ready&title=Ready)](https://waffle.io/prerender/prerender),123,microlv.prerender.md,1,"===========================  Google, Facebook, Twitter, Yahoo, and Bing are constantly trying to view your website... but they don't execute javascript. That's why we built Prerender. Prerender is perfect for AngularJS SEO, BackboneJS SEO, EmberJS SEO, and any other javascript framework.  Behind the scenes, Prerender is a node server from [prerender.io](http://prerender.io) that uses phantomjs to create static HTML out of a javascript page. We host this as a service at [prerender.io](http://prerender.io) but we also open sourced it because we believe basic SEO is a right, not a privilege!  It should be used in conjunction with [these middleware libraries](#middleware) to serve the prerendered HTML to crawlers for SEO. Get started in two lines of code using [Rails](https://github.com/prerender/prerender_rails) or [Node](https://github.com/prerender/prerender-node).  Prerender adheres to google's `_escaped_fragment_` proposal, which we recommend you use. It's easy: - Just add &lt;meta name=""fragment"" content=""!""> to the &lt;head> of all of your pages - If you use hash urls (#), change them to the hash-bang (#!) - That's it! Perfect SEO on javascript pages.  Prerender includes lots of plugins, for example using Amazon S3 to [cache your prerendered HTML](#s3-html-cache). Prerender also starts multiple phantomjs processes to maximize throughput.  "
55,5,https://github.com/microlv/prerender,### <a id='middleware'></a>,-,microlv.prerender.md,3,
56,5,https://github.com/microlv/prerender,## Middleware,6,microlv.prerender.md,2,
57,5,https://github.com/microlv/prerender,#### Official middleware,3,microlv.prerender.md,4,
58,5,https://github.com/microlv/prerender,###### Javascript,6,microlv.prerender.md,6,
59,5,https://github.com/microlv/prerender,###### Ruby,6,microlv.prerender.md,6,
60,5,https://github.com/microlv/prerender,###### Apache,6,microlv.prerender.md,6,
61,5,https://github.com/microlv/prerender,###### Nginx,6,microlv.prerender.md,6,
62,5,https://github.com/microlv/prerender,#### Community middleware,6,microlv.prerender.md,4,
63,5,https://github.com/microlv/prerender,###### PHP,6,microlv.prerender.md,6,
64,5,https://github.com/microlv/prerender,###### Java,6,microlv.prerender.md,6,
65,5,https://github.com/microlv/prerender,###### Grails,6,microlv.prerender.md,6,
66,5,https://github.com/microlv/prerender,###### Nginx,6,microlv.prerender.md,6,
67,5,https://github.com/microlv/prerender,###### Apache,6,microlv.prerender.md,6,
68,5,https://github.com/microlv/prerender,## How it works,13,microlv.prerender.md,2,
69,5,https://github.com/microlv/prerender,## Running locally,3,microlv.prerender.md,2,
70,5,https://github.com/microlv/prerender,## Deploying your own on heroku,3,microlv.prerender.md,2,
71,5,https://github.com/microlv/prerender,#Customization,3,microlv.prerender.md,1,
72,5,https://github.com/microlv/prerender,## Plugins,3,microlv.prerender.md,2,
73,5,https://github.com/microlv/prerender,####`init()`,3,microlv.prerender.md,4,
74,5,https://github.com/microlv/prerender,"####`beforePhantomRequest(req, res, next)`",3,microlv.prerender.md,4,
75,5,https://github.com/microlv/prerender,"####`onPhantomPageCreate(phantom, req, res, next)`",3,microlv.prerender.md,4,
76,5,https://github.com/microlv/prerender,"####`afterPhantomRequest(req, res, next)`",3,microlv.prerender.md,4,
77,5,https://github.com/microlv/prerender,"####`beforeSend(req, res, next)`",3,microlv.prerender.md,4,
78,5,https://github.com/microlv/prerender,## Available plugins,3,microlv.prerender.md,2,
79,5,https://github.com/microlv/prerender,### basicAuth,3,microlv.prerender.md,3,
80,5,https://github.com/microlv/prerender,### removeScriptTags,3,microlv.prerender.md,3,
81,5,https://github.com/microlv/prerender,### httpHeaders,3,microlv.prerender.md,3,
82,5,https://github.com/microlv/prerender,### whitelist,3,microlv.prerender.md,3,
83,5,https://github.com/microlv/prerender,### blacklist,3,microlv.prerender.md,3,
84,5,https://github.com/microlv/prerender,### <a id='s3-html-cache'></a>,3,microlv.prerender.md,3,
85,5,https://github.com/microlv/prerender,### s3HtmlCache,3,microlv.prerender.md,3,
86,5,https://github.com/microlv/prerender,#### Region support,3,microlv.prerender.md,4,
87,5,https://github.com/microlv/prerender,### inMemoryHtmlCache,3,microlv.prerender.md,3,
88,5,https://github.com/microlv/prerender,### logger,3,microlv.prerender.md,3,
89,5,https://github.com/microlv/prerender,### mongodbCache,3,microlv.prerender.md,3,
90,5,https://github.com/microlv/prerender,### memjsCache,3,microlv.prerender.md,3,
91,5,https://github.com/microlv/prerender,## License,5,microlv.prerender.md,2,
92,6,https://github.com/565407548/vlayout,# vlayout,12,565407548.vlayout.md,1," [中文文档](README-ch.md)  Project `vlayout` is a powerfull LayoutManager extension for RecyclerView, it provides a group of layouts for RecyclerView. Make it able to handle a complicate situation when grid, list and other layouts in the same recyclerview. "
93,6,https://github.com/565407548/vlayout,## Design,12,565407548.vlayout.md,2,
94,6,https://github.com/565407548/vlayout,## Main Feature,1,565407548.vlayout.md,2,
95,6,https://github.com/565407548/vlayout,## Usage,3,565407548.vlayout.md,2,
96,6,https://github.com/565407548/vlayout,### Import Library,3,565407548.vlayout.md,3,
97,6,https://github.com/565407548/vlayout,### Initialize LayoutManager,3,565407548.vlayout.md,3,
98,6,https://github.com/565407548/vlayout,### Initialize recycled pool's size,3,565407548.vlayout.md,3,
99,6,https://github.com/565407548/vlayout,### Set Adapters,3,565407548.vlayout.md,3,
100,6,https://github.com/565407548/vlayout,# Demo,3,565407548.vlayout.md,1,
101,6,https://github.com/565407548/vlayout,# Layout Attributes,6,565407548.vlayout.md,1,
102,6,https://github.com/565407548/vlayout,# Contributing,7,565407548.vlayout.md,1,
103,6,https://github.com/565407548/vlayout,# LICENSE,5,565407548.vlayout.md,1,
104,7,https://github.com/shrah/corert,# .NET Core Runtime (CoreRT),1,shrah.corert.md,1,This repo contains the .NET Core runtime optimized for AOT compilation  |         |Ubuntu 14.04 |Windows |Mac OS X | |---------|:------:|:------:|:------:| |**Debug**|[![Build status](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_ubuntu/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_ubuntu/)|[![Build status](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_windows_nt/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_windows_nt/)|[![Build Status](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_osx/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/debug_osx/)| |**Release**|[![Build status](https://ci.dot.net/job/dotnet_corert/job/master/job/release_ubuntu/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/release_ubuntu/)|[![Build status](https://ci.dot.net/job/dotnet_corert/job/master/job/release_windows_nt/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/release_windows_nt/)|[![Build Status](https://ci.dot.net/job/dotnet_corert/job/master/job/release_osx/badge/icon)](https://ci.dot.net/job/dotnet_corert/job/master/job/release_osx/)| 
105,7,https://github.com/shrah/corert,"## How to Engage, Contribute and Provide Feedback",67,shrah.corert.md,2,
106,7,https://github.com/shrah/corert,### Reporting security issues and security bugs,67,shrah.corert.md,3,
107,7,https://github.com/shrah/corert,## License,5,shrah.corert.md,2,
108,7,https://github.com/shrah/corert,## .NET Foundation,156,shrah.corert.md,2,
109,7,https://github.com/shrah/corert,## Related Projects,6,shrah.corert.md,2,
110,8,https://github.com/udzura/domoraen,# domoraen,-,udzura.domoraen.md,1, https://twitter.com/domoraen 
111,8,https://github.com/udzura/domoraen,## 機能,-,udzura.domoraen.md,2,
112,8,https://github.com/udzura/domoraen,### 道具提案機能,-,udzura.domoraen.md,3,
113,8,https://github.com/udzura/domoraen,### 遅延エコー機能,-,udzura.domoraen.md,3,
114,8,https://github.com/udzura/domoraen,## TODO,-,udzura.domoraen.md,2,
115,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,# Hello World,1,LoMicah03.hello-world-ruby-ruby-intro-000.md,1,
116,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Overview,1,LoMicah03.hello-world-ruby-ruby-intro-000.md,2,
117,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Objectives,1,LoMicah03.hello-world-ruby-ruby-intro-000.md,2,
118,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,## Instructions,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,2,
119,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Creating a File,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
120,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Writing Code,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
121,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Executing Your File,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
122,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Running Learn,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
123,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Submitting Your Lab,3,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
124,9,https://github.com/LoMicah03/hello-world-ruby-ruby-intro-000,### Hello World History,8,LoMicah03.hello-world-ruby-ruby-intro-000.md,3,
125,10,https://github.com/gevans/chef-xdebug,# Description,1,gevans.chef-xdebug.md,1,===========  Words go here.  Currently tested only on 64-bit Ubuntu 10.04 (Lucid). 
126,10,https://github.com/gevans/chef-xdebug,# Requirements,3,gevans.chef-xdebug.md,1,
127,10,https://github.com/gevans/chef-xdebug,## Cookbooks:,3,gevans.chef-xdebug.md,2,
128,10,https://github.com/gevans/chef-xdebug,# Attributes,3,gevans.chef-xdebug.md,1,
129,10,https://github.com/gevans/chef-xdebug,# Usage,3,gevans.chef-xdebug.md,1,
130,10,https://github.com/gevans/chef-xdebug,# TODO,4,gevans.chef-xdebug.md,1,
131,10,https://github.com/gevans/chef-xdebug,# ISSUES,3,gevans.chef-xdebug.md,1,
132,10,https://github.com/gevans/chef-xdebug,## Development,3,gevans.chef-xdebug.md,2,
133,10,https://github.com/gevans/chef-xdebug,# LICENSE & AUTHOR:,5,gevans.chef-xdebug.md,1,
134,11,https://github.com/h3biomed/lastpass-cli,# LastPass CLI,1,h3biomed.lastpass-cli.md,1,
135,11,https://github.com/h3biomed/lastpass-cli,#### (c) 2014 LastPass.,5,h3biomed.lastpass-cli.md,4,
136,11,https://github.com/h3biomed/lastpass-cli,## Operating System Support,3,h3biomed.lastpass-cli.md,2,
137,11,https://github.com/h3biomed/lastpass-cli,## Dependencies,3,h3biomed.lastpass-cli.md,2,
138,11,https://github.com/h3biomed/lastpass-cli,### Installing on Linux,3,h3biomed.lastpass-cli.md,3,
139,11,https://github.com/h3biomed/lastpass-cli,#### Redhat/Centos,3,h3biomed.lastpass-cli.md,4,
140,11,https://github.com/h3biomed/lastpass-cli,##### Debian/Ubuntu,3,h3biomed.lastpass-cli.md,5,
141,11,https://github.com/h3biomed/lastpass-cli,#### Gentoo,3,h3biomed.lastpass-cli.md,4,
142,11,https://github.com/h3biomed/lastpass-cli,##### Other Linux Distros,3,h3biomed.lastpass-cli.md,5,
143,11,https://github.com/h3biomed/lastpass-cli,### Installing on OS X,3,h3biomed.lastpass-cli.md,3,
144,11,https://github.com/h3biomed/lastpass-cli,### Installing on FreeBSD,3,h3biomed.lastpass-cli.md,3,
145,11,https://github.com/h3biomed/lastpass-cli,## Building,3,h3biomed.lastpass-cli.md,2,
146,11,https://github.com/h3biomed/lastpass-cli,## Installing,3,h3biomed.lastpass-cli.md,2,
147,11,https://github.com/h3biomed/lastpass-cli,## Running,3,h3biomed.lastpass-cli.md,2,
148,11,https://github.com/h3biomed/lastpass-cli,## Documentation,36,h3biomed.lastpass-cli.md,2,
149,12,https://github.com/guoyalun/weapp-ide-crack,##相关资源,-,guoyalun.weapp-ide-crack.md,2, * 开发群：QQ（452137839）  * 开发工具 v0.7 	* 百度: https://pan.baidu.com/s/1pLTKIqJ （密码: iswg） 	* 360: https://yunpan.cn/ckvTYFHWzYYFV （提取码：e09b）  * 开发工具 v0.9   * 百度: https://pan.baidu.com/s/1pLTKIqJ （密码: iswg）   * 360: https://yunpan.cn/ckvXjEbnFYMSC （提取码：f9ca）  * Demo源代码   * 百度: https://pan.baidu.com/s/1o8hJFuU （密码: bsky）   * 360: https://yunpan.cn/ckvXAacJjvsgR （提取码：3327） 
150,12,https://github.com/guoyalun/weapp-ide-crack,##破解步骤,-,guoyalun.weapp-ide-crack.md,2,
151,12,https://github.com/guoyalun/weapp-ide-crack,##扫码无法登录问题 please bind your wechat account to the appid first,-,guoyalun.weapp-ide-crack.md,2,
152,12,https://github.com/guoyalun/weapp-ide-crack,##使用教程,-,guoyalun.weapp-ide-crack.md,2,
153,12,https://github.com/guoyalun/weapp-ide-crack,##常见问题,-,guoyalun.weapp-ide-crack.md,2,
154,12,https://github.com/guoyalun/weapp-ide-crack,##工具截图,-,guoyalun.weapp-ide-crack.md,2,
155,12,https://github.com/guoyalun/weapp-ide-crack,##相关链接,-,guoyalun.weapp-ide-crack.md,2,
156,13,https://github.com/anirut/TuentiTV,# Tuenti for Android TV [![Android Arsenal](https://img.shields.io/badge/Android%20Arsenal-TuentiTV-brightgreen.svg?style=flat)](https://android-arsenal.com/details/3/1465),1,anirut.TuentiTV.md,1,=====================  Sample project created to show some of the most important features related to Android TV projects. This little sample uses mocked data to simulate an application working with information from Tuenti servers.  In this repository you are going to find some interesting samples to work with Android TV like:  * How to configure Android dependencies to create an Android TV application. **Leanback** is the most important dependency. * Hos to configure an Activity to work as **Launcher Activity** for Android TV projects. * How to extend from **Leanback BrowseFragment** to create the main view of this project. * How to extend from **Leanback DetailsFragment** to create the detail view of this project. * How to extend from **Leanback SearchFragment** to create the search view of this project. * How to show Android TV **recommendations**. * How to create a **custom Activity/Fragment without Leanback** library help for Android TV. * How to use **View Focus** to create custom Activities/Fragments for Android TV and different focus features added for Android TV like **nextFocusDown**. * How to use **<requestFocus/>** xml tag inside your layouts. * How to use **State List Animators** to improve your application UI/UX. * How to change **Activities/Fragments background** to improve your views. * How to capture Android TV **DPAD events**. * How to **create your own presenters** to use with **ArrayObjectAdapter**. 
157,13,https://github.com/anirut/TuentiTV,## Implementation description,6,anirut.TuentiTV.md,2,
158,13,https://github.com/anirut/TuentiTV,## Video Demo,3,anirut.TuentiTV.md,2,
159,13,https://github.com/anirut/TuentiTV,## Screenshots,3,anirut.TuentiTV.md,2,
160,13,https://github.com/anirut/TuentiTV,## Libraries used on the sample project,6,anirut.TuentiTV.md,2,
161,13,https://github.com/anirut/TuentiTV,## Developed By,5,anirut.TuentiTV.md,2,
162,13,https://github.com/anirut/TuentiTV,## License,5,anirut.TuentiTV.md,2,
163,14,https://github.com/sineed/rails,# Welcome to Rails,1,sineed.rails.md,1," Rails is a web-application framework that includes everything needed to create database-backed web applications according to the [Model-View-Controller (MVC)](http://en.wikipedia.org/wiki/Model-view-controller) pattern.  Understanding the MVC pattern is key to understanding Rails. MVC divides your application into three layers, each with a specific responsibility.  The _Model layer_ represents your domain model (such as Account, Product, Person, Post, etc.) and encapsulates the business logic that is specific to your application. In Rails, database-backed model classes are derived from `ActiveRecord::Base`. Active Record allows you to present the data from database rows as objects and embellish these data objects with business logic methods. You can read more about Active Record in its [README](activerecord/README.rdoc). Although most Rails models are backed by a database, models can also be ordinary Ruby classes, or Ruby classes that implement a set of interfaces as provided by the Active Model module. You can read more about Active Model in its [README](activemodel/README.rdoc).  The _Controller layer_ is responsible for handling incoming HTTP requests and providing a suitable response. Usually this means returning HTML, but Rails controllers can also generate XML, JSON, PDFs, mobile-specific views, and more. Controllers load and manipulate models, and render view templates in order to generate the appropriate HTTP response. In Rails, incoming requests are routed by Action Dispatch to an appropriate controller, and controller classes are derived from `ActionController::Base`. Action Dispatch and Action Controller are bundled together in Action Pack. You can read more about Action Pack in its [README](actionpack/README.rdoc).  The _View layer_ is composed of ""templates"" that are responsible for providing appropriate representations of your application's resources. Templates can come in a variety of formats, but most view templates are HTML with embedded Ruby code (ERB files). Views are typically rendered to generate a controller response, or to generate the body of an email. In Rails, View generation is handled by Action View. You can read more about Action View in its [README](actionview/README.rdoc).  Active Record, Active Model, Action Pack, and Action View can each be used independently outside Rails. In addition to that, Rails also comes with Action Mailer ([README](actionmailer/README.rdoc)), a library to generate and send emails; Active Job ([README](activejob/README.md)), a framework for declaring jobs and making them run on a variety of queueing backends; Action Cable ([README](actioncable/README.md)), a framework to integrate WebSockets with a Rails application; and Active Support ([README](activesupport/README.rdoc)), a collection of utility classes and standard library extensions that are useful for Rails, and may also be used independently outside Rails. "
164,14,https://github.com/sineed/rails,## Getting Started,36,sineed.rails.md,2,
165,14,https://github.com/sineed/rails,## Contributing,7,sineed.rails.md,2,
166,14,https://github.com/sineed/rails,## Code Status,4,sineed.rails.md,2,
167,14,https://github.com/sineed/rails,## License,5,sineed.rails.md,2,
168,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,# App Service Mobile completed quickstart for Xamarin.Android apps,1,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,1,"This repository contains an Xamarin.Android app project based on the App Service Mobile Apps quickstart project, which you can download from the [Azure portal](https://portal.azure.com). This project have been enhanced by the addition of offline sync, authentication, and push notification functionality. This demonstrates how to best integrate the various Mobile Apps features. To learn how to download the Xamarin.Android quickstart app project from the portal, see [Create a Xamarin.Android app](https://azure.microsoft.com/documentation/articles/app-service-mobile-xamarin-android-get-started/). This readme topic contains the following information to help you run the sample app project and to better understand the design decisions.  + [Overview](#overview) + [Configure the Mobile App backend](#configure-the-mobile-app-backend) + [Configure the Xamarin.Android app](#configure-the-xamarin-android-app) 	+ [Set the Mobile App backend URL](#set-the-mobile-app-backend-url) 	+ [Configure authentication](#configure-authentication) 	+ [Configure push notifications](#configure-push-notifications) + [Running the app](#running-the-app) + [Implementation notes](#implementation-notes) 	+ [Template push notification registration](#template-push-notification-registration) 	+ [Client-added push notification tags](#client-added-push-notification-tags) 	+ [Authenticate first](#authenticate-first) "
169,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,##Overview,1,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,2,
170,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Configure the Mobile App backend,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,2,
171,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Configure the Xamarin.Android app,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,2,
172,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Set the Mobile App backend URL,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
173,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Configure authentication,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
174,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,### Configure push notifications,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
175,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Running the app,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,2,
176,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,## Implementation notes,6,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,2,
177,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Template push notification registration,36,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
178,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Client-added push notification tags,36,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
179,15,https://github.com/ggailey777/app-service-mobile-xamarin-android-quickstart-old,###Authenticate first,3,ggailey777.app-service-mobile-xamarin-android-quickstart-old.md,3,
