section_id,file_id,url,heading_markdown,local_readme_file,heading_level
8,13,https://github.com/aceol/generator-gulp-angular,"##### Run `yo gulp-angular`, and select desired technologies:",aceol.generator-gulp-angular.md,5
9,13,https://github.com/aceol/generator-gulp-angular,## Documentation,aceol.generator-gulp-angular.md,2
10,13,https://github.com/aceol/generator-gulp-angular,## Features,aceol.generator-gulp-angular.md,2
11,13,https://github.com/aceol/generator-gulp-angular,## Questions the generator will ask,aceol.generator-gulp-angular.md,2
12,13,https://github.com/aceol/generator-gulp-angular,## Changelog,aceol.generator-gulp-angular.md,2
13,13,https://github.com/aceol/generator-gulp-angular,## Contributing,aceol.generator-gulp-angular.md,2
14,13,https://github.com/aceol/generator-gulp-angular,## License,aceol.generator-gulp-angular.md,2
1,14,https://github.com/adamswann/WPD-.NET-Wrapper,# WPD-.NET-Wrapper,adamswann.WPD-.NET-Wrapper.md,1
2,14,https://github.com/adamswann/WPD-.NET-Wrapper,## Current State,adamswann.WPD-.NET-Wrapper.md,2
3,14,https://github.com/adamswann/WPD-.NET-Wrapper,## Copyright,adamswann.WPD-.NET-Wrapper.md,2
4,14,https://github.com/adamswann/WPD-.NET-Wrapper,## ,adamswann.WPD-.NET-Wrapper.md,2
1,15,https://github.com/adrian907/neuraltalk2,# NeuralTalk2,adrian907.neuraltalk2.md,1
2,15,https://github.com/adrian907/neuraltalk2,### Requirements,adrian907.neuraltalk2.md,3
3,15,https://github.com/adrian907/neuraltalk2,#### For evaluation only,adrian907.neuraltalk2.md,4
4,15,https://github.com/adrian907/neuraltalk2,#### For training,adrian907.neuraltalk2.md,4
5,15,https://github.com/adrian907/neuraltalk2,### I just want to caption images,adrian907.neuraltalk2.md,3
6,15,https://github.com/adrian907/neuraltalk2,### I'd like to train my own network on MS COCO,adrian907.neuraltalk2.md,3
7,15,https://github.com/adrian907/neuraltalk2,### I'd like to train on my own data,adrian907.neuraltalk2.md,3
8,15,https://github.com/adrian907/neuraltalk2,### I'd like to distribute my GPU trained checkpoints for CPU,adrian907.neuraltalk2.md,3
9,15,https://github.com/adrian907/neuraltalk2,### License,adrian907.neuraltalk2.md,3
10,15,https://github.com/adrian907/neuraltalk2,### Acknowledgements,adrian907.neuraltalk2.md,3
1,16,https://github.com/aforward-oss/chef-redis,# DESCRIPTION:,aforward-oss.chef-redis.md,1
2,16,https://github.com/aforward-oss/chef-redis,# How to add to your cookbook repository #,aforward-oss.chef-redis.md,1
3,16,https://github.com/aforward-oss/chef-redis,# REQUIREMENTS:,aforward-oss.chef-redis.md,1
4,16,https://github.com/aforward-oss/chef-redis,# ATTRIBUTES:,aforward-oss.chef-redis.md,1
5,16,https://github.com/aforward-oss/chef-redis,# USAGE:,aforward-oss.chef-redis.md,1
1,17,https://github.com/agomezf/ProgrammingAssignment2,### Introduction,agomezf.ProgrammingAssignment2.md,3
2,17,https://github.com/agomezf/ProgrammingAssignment2,### Example: Caching the Mean of a Vector,agomezf.ProgrammingAssignment2.md,3
3,17,https://github.com/agomezf/ProgrammingAssignment2,### Assignment: Caching the Inverse of a Matrix,agomezf.ProgrammingAssignment2.md,3
4,17,https://github.com/agomezf/ProgrammingAssignment2,### Grading,agomezf.ProgrammingAssignment2.md,3
1,18,https://github.com/ahmadassaf/dynamic-json-resume,# dynamic-json-resume,ahmadassaf.dynamic-json-resume.md,1
2,18,https://github.com/ahmadassaf/dynamic-json-resume,##Inspiration:,ahmadassaf.dynamic-json-resume.md,2
3,18,https://github.com/ahmadassaf/dynamic-json-resume,##Installation:,ahmadassaf.dynamic-json-resume.md,2
4,18,https://github.com/ahmadassaf/dynamic-json-resume,##Usage:,ahmadassaf.dynamic-json-resume.md,2
5,18,https://github.com/ahmadassaf/dynamic-json-resume,##JSON Schema:,ahmadassaf.dynamic-json-resume.md,2
6,18,https://github.com/ahmadassaf/dynamic-json-resume,####Contact section:,ahmadassaf.dynamic-json-resume.md,4
7,18,https://github.com/ahmadassaf/dynamic-json-resume,####Education section:,ahmadassaf.dynamic-json-resume.md,4
8,18,https://github.com/ahmadassaf/dynamic-json-resume,#### Work section:,ahmadassaf.dynamic-json-resume.md,4
9,18,https://github.com/ahmadassaf/dynamic-json-resume,#### Project section:,ahmadassaf.dynamic-json-resume.md,4
10,18,https://github.com/ahmadassaf/dynamic-json-resume,#### Skills section:,ahmadassaf.dynamic-json-resume.md,4
11,18,https://github.com/ahmadassaf/dynamic-json-resume,#### Languages and Hobbies sections:,ahmadassaf.dynamic-json-resume.md,4
12,18,https://github.com/ahmadassaf/dynamic-json-resume,##How to add extra content for your resume?,ahmadassaf.dynamic-json-resume.md,2
13,18,https://github.com/ahmadassaf/dynamic-json-resume,##API:,ahmadassaf.dynamic-json-resume.md,2
14,18,https://github.com/ahmadassaf/dynamic-json-resume,## How to generate a PDF for my resume?,ahmadassaf.dynamic-json-resume.md,2
15,18,https://github.com/ahmadassaf/dynamic-json-resume,## Generate your dynamic resume from your [json-resume](https://jsonresume.org/),ahmadassaf.dynamic-json-resume.md,2
16,18,https://github.com/ahmadassaf/dynamic-json-resume,## Example,ahmadassaf.dynamic-json-resume.md,2
17,18,https://github.com/ahmadassaf/dynamic-json-resume,##### Complete example to integrate this into your node app (assuming you use node-express and mustache-express):,ahmadassaf.dynamic-json-resume.md,5
18,18,https://github.com/ahmadassaf/dynamic-json-resume,##Tests,ahmadassaf.dynamic-json-resume.md,2
19,18,https://github.com/ahmadassaf/dynamic-json-resume,##Mentions:,ahmadassaf.dynamic-json-resume.md,2
1,19,https://github.com/alanqian/feedback,# feedback,alanqian.feedback.md,1
2,19,https://github.com/alanqian/feedback,## Usage,alanqian.feedback.md,2
3,19,https://github.com/alanqian/feedback,## Requirements,alanqian.feedback.md,2
4,19,https://github.com/alanqian/feedback,## Compatibility,alanqian.feedback.md,2
5,19,https://github.com/alanqian/feedback,## Demo,alanqian.feedback.md,2
6,19,https://github.com/alanqian/feedback,## Post Data,alanqian.feedback.md,2
7,19,https://github.com/alanqian/feedback,## Options,alanqian.feedback.md,2
8,19,https://github.com/alanqian/feedback,### ajaxURL (String),alanqian.feedback.md,3
9,19,https://github.com/alanqian/feedback,### postBrowserInfo (Boolean),alanqian.feedback.md,3
10,19,https://github.com/alanqian/feedback,### postHTML (Boolean),alanqian.feedback.md,3
11,19,https://github.com/alanqian/feedback,### postURL (Boolean),alanqian.feedback.md,3
12,19,https://github.com/alanqian/feedback,### proxy (String),alanqian.feedback.md,3
13,19,https://github.com/alanqian/feedback,### letterRendering (Boolean),alanqian.feedback.md,3
14,19,https://github.com/alanqian/feedback,### initButtonText (String / HTML),alanqian.feedback.md,3
15,19,https://github.com/alanqian/feedback,### strokeStyle (String / HEX color),alanqian.feedback.md,3
16,19,https://github.com/alanqian/feedback,### shadowColor (String / HEX color),alanqian.feedback.md,3
17,19,https://github.com/alanqian/feedback,### shadowOffsetX / shadowOffsetY (Integer),alanqian.feedback.md,3
18,19,https://github.com/alanqian/feedback,### shadowBlur (Integer),alanqian.feedback.md,3
19,19,https://github.com/alanqian/feedback,### lineJoin (String),alanqian.feedback.md,3
20,19,https://github.com/alanqian/feedback,### lineWidth (Integer),alanqian.feedback.md,3
21,19,https://github.com/alanqian/feedback,### html2canvasURL (String),alanqian.feedback.md,3
22,19,https://github.com/alanqian/feedback,### tpl.description / tpl.highlighter / tpl.overview / tpl.submitSuccess / tpl.submitError (String / HTML),alanqian.feedback.md,3
23,19,https://github.com/alanqian/feedback,### onClose (Function),alanqian.feedback.md,3
24,19,https://github.com/alanqian/feedback,### screenshotStroke (Boolean),alanqian.feedback.md,3
25,19,https://github.com/alanqian/feedback,### highlightElement (Boolean),alanqian.feedback.md,3
26,19,https://github.com/alanqian/feedback,### initialBox (Boolean),alanqian.feedback.md,3
27,19,https://github.com/alanqian/feedback,### feedbackButton (String),alanqian.feedback.md,3
28,19,https://github.com/alanqian/feedback,### showDescriptionModal (Boolean),alanqian.feedback.md,3
29,19,https://github.com/alanqian/feedback,### onScreenshotTaken (Function),alanqian.feedback.md,3
30,19,https://github.com/alanqian/feedback,### isDraggable (Boolean),alanqian.feedback.md,3
31,19,https://github.com/alanqian/feedback,## License,alanqian.feedback.md,2
1,20,https://github.com/alanwgeorge/Android-CleanArchitecture,# Android-CleanArchitecture [![Build Status](https://travis-ci.org/android10/Android-CleanArchitecture.svg?branch=master)](https://travis-ci.org/android10/Android-CleanArchitecture),alanwgeorge.Android-CleanArchitecture.md,1
2,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Clean architecture,alanwgeorge.Android-CleanArchitecture.md,2
3,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Architectural approach,alanwgeorge.Android-CleanArchitecture.md,2
4,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Architectural reactive approach,alanwgeorge.Android-CleanArchitecture.md,2
5,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Local Development,alanwgeorge.Android-CleanArchitecture.md,2
6,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Discussions,alanwgeorge.Android-CleanArchitecture.md,2
7,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## Code style,alanwgeorge.Android-CleanArchitecture.md,2
8,20,https://github.com/alanwgeorge/Android-CleanArchitecture,## License,alanwgeorge.Android-CleanArchitecture.md,2
1,21,https://github.com/AlexandraRezk02/first-lab-ruby-learn-cli-ile-intro-to-learn,# Solving your first Lab,AlexandraRezk02.first-lab-ruby-learn-cli-ile-intro-to-learn.md,1
2,21,https://github.com/AlexandraRezk02/first-lab-ruby-learn-cli-ile-intro-to-learn,## Objectives,AlexandraRezk02.first-lab-ruby-learn-cli-ile-intro-to-learn.md,2
3,21,https://github.com/AlexandraRezk02/first-lab-ruby-learn-cli-ile-intro-to-learn,## Instructions,AlexandraRezk02.first-lab-ruby-learn-cli-ile-intro-to-learn.md,2
1,22,https://github.com/AlexandreHonorato/wildfly,# WildFly Application Server,AlexandreHonorato.wildfly.md,1
2,22,https://github.com/AlexandreHonorato/wildfly,## Building,AlexandreHonorato.wildfly.md,2
3,22,https://github.com/AlexandreHonorato/wildfly,## Starting and Stopping WildFly ,AlexandreHonorato.wildfly.md,2
4,22,https://github.com/AlexandreHonorato/wildfly,## Contributing,AlexandreHonorato.wildfly.md,2
5,22,https://github.com/AlexandreHonorato/wildfly,## Running the Testsuite,AlexandreHonorato.wildfly.md,2
6,22,https://github.com/AlexandreHonorato/wildfly,## Using Eclipse,AlexandreHonorato.wildfly.md,2
7,22,https://github.com/AlexandreHonorato/wildfly,## License,AlexandreHonorato.wildfly.md,2
1,23,https://github.com/alg/carrierwave-base64-storage,# Carrierwave Base64 Storage,alg.carrierwave-base64-storage.md,1
2,23,https://github.com/alg/carrierwave-base64-storage,## Installation,alg.carrierwave-base64-storage.md,2
3,23,https://github.com/alg/carrierwave-base64-storage,## Usage,alg.carrierwave-base64-storage.md,2
4,23,https://github.com/alg/carrierwave-base64-storage,## License,alg.carrierwave-base64-storage.md,2
1,24,https://github.com/AlluringJay/ripgrep,## ripgrep (rg),AlluringJay.ripgrep.md,2
2,24,https://github.com/AlluringJay/ripgrep,### Screenshot of search results,AlluringJay.ripgrep.md,3
3,24,https://github.com/AlluringJay/ripgrep,### Quick examples comparing tools,AlluringJay.ripgrep.md,3
4,24,https://github.com/AlluringJay/ripgrep,### Why should I use `ripgrep`?,AlluringJay.ripgrep.md,3
5,24,https://github.com/AlluringJay/ripgrep,### Is it really faster than everything else?,AlluringJay.ripgrep.md,3
6,24,https://github.com/AlluringJay/ripgrep,### Installation,AlluringJay.ripgrep.md,3
7,24,https://github.com/AlluringJay/ripgrep,### Whirlwind tour,AlluringJay.ripgrep.md,3
8,24,https://github.com/AlluringJay/ripgrep,### Regex syntax,AlluringJay.ripgrep.md,3
9,24,https://github.com/AlluringJay/ripgrep,### Building,AlluringJay.ripgrep.md,3
10,24,https://github.com/AlluringJay/ripgrep,### Running tests,AlluringJay.ripgrep.md,3
1,25,https://github.com/ammarx/ARP-spoofing,# ARP-spoofing ,ammarx.ARP-spoofing.md,1
2,25,https://github.com/ammarx/ARP-spoofing,# Requirements,ammarx.ARP-spoofing.md,1
3,25,https://github.com/ammarx/ARP-spoofing,# Requirement details,ammarx.ARP-spoofing.md,1
4,25,https://github.com/ammarx/ARP-spoofing,# Installation,ammarx.ARP-spoofing.md,1
5,25,https://github.com/ammarx/ARP-spoofing,# Setting up IP Forwarding,ammarx.ARP-spoofing.md,1
6,25,https://github.com/ammarx/ARP-spoofing,# Gathering MAC and IP addresses,ammarx.ARP-spoofing.md,1
7,25,https://github.com/ammarx/ARP-spoofing,# Performing the attack,ammarx.ARP-spoofing.md,1
8,25,https://github.com/ammarx/ARP-spoofing,# Extra,ammarx.ARP-spoofing.md,1
9,25,https://github.com/ammarx/ARP-spoofing,# Credits,ammarx.ARP-spoofing.md,1
1,26,https://github.com/AMorporkian/StarryPy3k,# StarryPy3k,AMorporkian.StarryPy3k.md,1
2,26,https://github.com/AMorporkian/StarryPy3k,##About,AMorporkian.StarryPy3k.md,2
3,26,https://github.com/AMorporkian/StarryPy3k,## Requirements,AMorporkian.StarryPy3k.md,2
4,26,https://github.com/AMorporkian/StarryPy3k,## Installation,AMorporkian.StarryPy3k.md,2
5,26,https://github.com/AMorporkian/StarryPy3k,### Starbound Server Configuration,AMorporkian.StarryPy3k.md,3
6,26,https://github.com/AMorporkian/StarryPy3k,### StarryPy Proxy Configuration,AMorporkian.StarryPy3k.md,3
7,26,https://github.com/AMorporkian/StarryPy3k,### Starting the proxy,AMorporkian.StarryPy3k.md,3
8,26,https://github.com/AMorporkian/StarryPy3k,## Contributing,AMorporkian.StarryPy3k.md,2
9,26,https://github.com/AMorporkian/StarryPy3k,## History,AMorporkian.StarryPy3k.md,2
1,28,https://github.com/anirut/TuentiTV,# Tuenti for Android TV [![Android Arsenal](https://img.shields.io/badge/Android%20Arsenal-TuentiTV-brightgreen.svg?style=flat)](https://android-arsenal.com/details/3/1465),anirut.TuentiTV.md,1
2,28,https://github.com/anirut/TuentiTV,## Implementation description,anirut.TuentiTV.md,2
3,28,https://github.com/anirut/TuentiTV,## Video Demo,anirut.TuentiTV.md,2
4,28,https://github.com/anirut/TuentiTV,## Screenshots,anirut.TuentiTV.md,2
5,28,https://github.com/anirut/TuentiTV,## Libraries used on the sample project,anirut.TuentiTV.md,2
6,28,https://github.com/anirut/TuentiTV,## Developed By,anirut.TuentiTV.md,2
7,28,https://github.com/anirut/TuentiTV,## License,anirut.TuentiTV.md,2
1,29,https://github.com/antlinker/go-mqtt,# MQTT　golang 客户端 ,antlinker.go-mqtt.md,1
2,29,https://github.com/antlinker/go-mqtt,## 支持,antlinker.go-mqtt.md,2
3,29,https://github.com/antlinker/go-mqtt,## 获取,antlinker.go-mqtt.md,2
4,29,https://github.com/antlinker/go-mqtt,## 例子,antlinker.go-mqtt.md,2
5,29,https://github.com/antlinker/go-mqtt,## API使用,antlinker.go-mqtt.md,2
6,29,https://github.com/antlinker/go-mqtt,### 客户端创建,antlinker.go-mqtt.md,3
7,29,https://github.com/antlinker/go-mqtt,### 连接事件,antlinker.go-mqtt.md,3
8,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
9,29,https://github.com/antlinker/go-mqtt,### 断开连接事件,antlinker.go-mqtt.md,3
10,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
11,29,https://github.com/antlinker/go-mqtt,### 订阅事件,antlinker.go-mqtt.md,3
12,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
13,29,https://github.com/antlinker/go-mqtt,### 发布消息事件,antlinker.go-mqtt.md,3
14,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
15,29,https://github.com/antlinker/go-mqtt,### 接收消息事件,antlinker.go-mqtt.md,3
16,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
17,29,https://github.com/antlinker/go-mqtt,### 取消订阅事件,antlinker.go-mqtt.md,3
18,29,https://github.com/antlinker/go-mqtt,#### 例子,antlinker.go-mqtt.md,4
19,29,https://github.com/antlinker/go-mqtt,### 报文发送接收事件,antlinker.go-mqtt.md,3
